,Grand Prix,Circuit,Date,Winner,Team,Laps,Race Time
100,Mexico,Autódromo Hermanos Rodríguez,28 October 2018,Max Verstappen,Red Bull TAG Heuer,71,1:38:28.851
101,Brazil,Autódromo José Carlos Pace,11 November 2018,Lewis Hamilton,Mercedes,71,1:27:09.066
102,Abu Dhabi,Yas Marina Circuit,25 November 2018,Lewis Hamilton,Mercedes,55,1:39:40.382
103,Australia,Melbourne Grand Prix Circuit,26 March 2017,Sebastian Vettel,Ferrari,57,1:24:11.672
104,China,Shanghai International Circuit,9 April 2017,Lewis Hamilton,Mercedes,56,1:37:36.158
105,Bahrain,Bahrain International Circuit,16 April 2017,Sebastian Vettel,Ferrari,57,1:33:53.374
106,Russia,Sochi Autodrom,30 April 2017,Valtteri Bottas,Mercedes,52,1:28:08.743
107,Spain,Circuit de Barcelona-Catalunya,14 May 2017,Lewis Hamilton,Mercedes,66,1:35:56.497
108,Monaco,Circuit de Monaco,28 May 2017,Sebastian Vettel,Ferrari,78,1:44:44.340
109,Canada,Circuit Gilles-Villeneuve,11 June 2017,Lewis Hamilton,Mercedes,70,1:33:05.154
110,Azerbaijan,Baku City Circuit,25 June 2017,Daniel Ricciardo,Red Bull TAG Heuer,51,2:03:55.573
111,Austria,Red Bull Ring,9 July 2017,Valtteri Bottas,Mercedes,71,1:21:48.523
112,Great Britain,Silverstone Circuit,16 July 2017,Lewis Hamilton,Mercedes,51,1:21:27.430
113,Hungary,Hungaroring,30 July 2017,Sebastian Vettel,Ferrari,70,1:39:46.713
114,Belgium,Circuit de Spa-Francorchamps,27 August 2017,Lewis Hamilton,Mercedes,44,1:24:42.820
115,Italy,Autodromo Nazionale Monza,3 September 2017,Lewis Hamilton,Mercedes,53,1:15:32.312
116,Singapore,Marina Bay Street Circuit,17 September 2017,Lewis Hamilton,Mercedes,58,2:03:23.544
117,Malaysia,Sepang International Circuit,1 October 2017,Max Verstappen,Red Bull TAG Heuer,56,1:30:01.290
118,Japan,Suzuka International Racing Course,8 October 2017,Lewis Hamilton,Mercedes,53,1:27:31.194
119,United States,Circuit of The Americas,22 October 2017,Lewis Hamilton,Mercedes,56,1:33:50.991
120,Mexico,Autódromo Hermanos Rodríguez,29 October 2017,Max Verstappen,Red Bull TAG Heuer,71,1:36:26.552
121,Brazil,Autódromo José Carlos Pace,12 November 2017,Sebastian Vettel,Ferrari,71,1:31:26.262
122,Abu Dhabi,Yas Marina Circuit,26 November 2017,Valtteri Bottas,Mercedes,55,1:34:14.062
123,Australia,Melbourne Grand Prix Circuit,20 March 2016,Nico Rosberg,Mercedes,57,1:48:15.565
124,Bahrain,Bahrain International Circuit,3 April 2016,Nico Rosberg,Mercedes,57,1:33:34.696
125,China,Shanghai International Circuit,17 April 2016,Nico Rosberg,Mercedes,56,1:38:53.891
126,Russia,Sochi Autodrom,1 May 2016,Nico Rosberg,Mercedes,53,1:32:41.997
127,Spain,Circuit de Barcelona-Catalunya,15 May 2016,Max Verstappen,Red Bull TAG Heuer,66,1:41:40.017
128,Monaco,Circuit de Monaco,29 May 2016,Lewis Hamilton,Mercedes,78,1:59:29.133
129,Canada,Circuit Gilles-Villeneuve,12 June 2016,Lewis Hamilton,Mercedes,70,1:31:05.296
130,Europe,Baku City Circuit,19 June 2016,Nico Rosberg,Mercedes,51,1:32:52.366
